6730	7740
7000	8000
7260	8280
7550	8560
7830	8840
8120	9150
8420	9450
8720	9740
9040	10000
9350	10200
9630	10400
9840	10700
10000	10900
10300	11100
10500	11300
10700	11500
10900	11700
11100	12000
11400	12200
11600	12400
11800	12600
12100	12900
12300	13100
12500	13300
12700	13500
13000	13800
13200	14000
13500	14300
13700	14500
13900	14700
14200	15000
14400	15200
14700	15500
14900	15800
15200	16000
15400	16300
15700	16600
16000	16800
16300	17100
16500	17400
16800	17600
17100	17900
17400	18200
17700	18500
17900	18800
18200	19100
18500	19400
18800	19700
19100	20000
19500	20300
19800	20700
20100	21000
20400	21300
20800	21700
21100	22100
21500	22400
21900	22800
22300	23200
22700	23600
23100	24000
23500	24400
23900	24900
24400	25300
24800	25800
25300	26300
25800	26800
26300	27300
26800	27800
27300	28400
27900	29000
28500	29500
29000	30100
29600	30800
30200	31400
30900	32100
31600	32800
32300	33600
33100	34400
33900	35200
34800	36000
35600	36900
36500	37900
37500	39000
38500	40000
39600	41100
40700	42200
42000	43400
43300	44800
44600	46400
46300	48300
48400	50500
50800	53200
53600	56500
57300	60700
62600	66200
69600	74100
80100	85500
97300	104000
140000	147000
